NO ,NO. PENAWARAN ,DATE,MARKERTING ,CUSTOMER NAME,REMARK (KAROSERI),HARGA ,HARGA (NEW),EXC / INC ,PROGRESS,QUANTITY,SATUAN,KETERANGAN,TOTAL
1,13/QUO/STM/I/25,03-Jan-25,EKO ARYO,PT.UNITED TRACTOR,TANGKI BBM KAP. 20.000 LITER QUESTER CWE 370 WB 41," 569,000,000 ","569,000,000", INC ,,,,TIDAK JADI OC,0
2,14/QUO/STM/I/25,03-Jan-25,EKO ARYO,PT. UNITED TRACTOR, WATER SPRAYER TANK KAP. 20.000 LITER QUESTER CWE 370 WB 41 ," 482,750,000 ","482,750,000", INC ,,,,TIDAK JADI OC,0
3,25/QUO/STM/I/25,06-Jan-25,EKO ARYO,PT. RUDI SALEH JAYA,TANGKI HIBLOW KAP. 35 TON (30M3) MITSUBISHI FN 61 FL," 350,000,000 ","350,000,000", INC ,,,,TIDAK JADI OC,0
4,44/QUO/STM/I/25,08-Jan-25,EKO ARYO,BAPAK HADY,TRAILER HI-BLOW KAP. 60 (50M3), TANPA HARGA ,0, INC ,,,,TIDAK JADI OC,0
5,49/QUO/STM/I/25,09-Jan-25,EKO ARYO,PT. SIPIN MOBILINDO ,DUMP TRUCK ISUZU TRAGA UK. 2500 X 1600 X 450 MM," 50,600,000 ","50,600,000", INC ,,,,TIDAK JADI OC,0
6,62/QUO/STM/I/25,09-Jan-25,EKO ARYO,PT. GAYA MAKMUR MOBIL,BODY MIXER KAP. 8 M³ FAW FD 280 DT," 300,000,000 ","300,000,000", INC ,,,,TIDAK JADI OC,0
7,65/QUO/STM/I/25,09-Jan-25,EKO ARYO,CUSTOMER BAPAK EKO ,WATER TANK STAINLESS KAP. 9.000 LITER MERCY AXOR 2528 C," 231,000,000 ","231,000,000", INC ,,,,TIDAK JADI OC,0
8,67/QUO/STM/I/25,10-Jan-25,EKO ARYO,CUSTOMER BAPAK EKO ,BAK BESI TERTUTUP MITSUBISHI FN 62 FL HDR UK 8.500 X 2.500 X 2.500 MM," 200,000,000 ","200,000,000", INC ,,,,TIDAK JADI OC,0
9,69/QUO/STM/I/25,10-Jan-25,EKO ARYO,BAPAK HADY,TANGKI HI-BLOW KAP. 35 TON (30 M3) HINO FM 280 JW, 270.000.000 (EXC) ,"270,000,000", EXC ,,,,TIDAK JADI OC,0
10,71/QUO/STM/I/25,21-Jan-25,EKO ARYO,CUSTOMER BAPAK EKO,TRAILER TANK MMU," 10,100,000,000 ","10,100,000,001", INC ,,,,TIDAK JADI OC,0
